АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9022100000;9022199999;Нижегородская сотовая связь;Ульяновская область
9022200000;9022299999;Ярославль-GSM;Ярославская область
9022300000;9022349999;Нижегородская сотовая связь;Республика Мордовия
9022400000;9022409999;Шупашкар-GSM;Чувашская Республика
9022410000;9022439999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Ивановская область
9022440000;9022469999;Нижегородская сотовая связь;Ульяновская область
9022470000;9022489999;Оренбург-GSM;Оренбургская область
9022490000;9022499999;Шупашкар-GSM;Чувашская Республика
9022500000;9022529999;Телесет Лтд.;Калининградская область
9022530000;9022799999;Ростелеком;Свердловская область
9022810000;9022819999;Мурманская Мобильная Сеть;Мурманская область
9022820000;9022829999;Мурманская Мобильная Сеть;Мурманская область
9022830000;9022849999;Новгородские телекоммуникации;Новгородская область
9022850000;9022869999;Архангельские Мобильные Сети;Архангельская область
9022870000;9022889999;Нижегородская сотовая связь;Чувашская Республика
9022900000;9022999999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Самарская область
9023000000;9023099999;Нижегородская сотовая связь;Нижегородская область
9023100000;9023149999;Волгоград-GSM;Волгоградская область
9023150000;9023199999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Ивановская область
9023200000;9023249999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Самарская область
9023250000;9023259999;Ростелеком;Республика Марий Эл
9023260000;9023269999;Ростелеком;Республика Марий Эл
9023270000;9023279999;Шупашкар-GSM;Чувашская Республика
9023280000;9023289999;Шупашкар-GSM;Чувашская Республика
9023290000;9023299999;Ростелеком;Республика Марий Эл
9023300000;9023349999;Ярославль-GSM;Ярославская область
9023350000;9023399999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Самарская область
9023400000;9023499999;Пенза-GSM;Пензенская область
9023500000;9023519999;Астрахань GSM;Астраханская область
9023520000;9023549999;Пенза-GSM;Пензенская область
9023550000;9023559999;Нижегородская сотовая связь;Ульяновская область
9023560000;9023579999;Нижегородская сотовая связь;Ульяновская область
9023580000;9023589999;Ростелеком;Республика Марий Эл
9023590000;9023599999;Шупашкар-GSM;Чувашская Республика
9023600000;9023649999;Волгоград-GSM;Волгоградская область
9023650000;9023669999;Оренбург-GSM;Оренбургская область
9023700000;9023799999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Самарская область
9023800000;9023899999;Волгоград-GSM;Волгоградская область
9024000000;9024009999;Ростелеком;Свердловская область
9024010000;9024019999;Кубань-GSM;Сочи |Краснодарский край
9024020000;9024029999;Кубань-GSM;Сочи |Краснодарский край
9024030000;9024089999;Телеком Евразия;Краснодарский край
9024090000;9024109999;Ростелеком;Свердловская область
9024240000;9024249999;ММС Ингушетии;Назрань |Республика Ингушетия
